"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"RV1,RV2,RV3,RV4";"RV2X4";4;"100K";;;
2;"R27,R19,R28,R20,R29,R9,R4,R18";"R3";8;"1K";;;
3;"R1,R11,R12,R16,R13,R14,R17,R7,R10,R3,R15,R2";"R3";12;"10K";;;
4;"R22,R31,R23,R32,R8,R30,R5,R21";"R3";8;"100K";;;
5;"R26,R25,R24,R6";"R3";4;"15K";;;
6;"U4,U2,U3,U1";"DIP-8__300";4;"LM358";;;
7;"U6";"DIP-8__300";1;"TC1044S";;;
8;"U5";"DIP-16__300";1;"ADG409";;;
9;"D3,D2,D1,D4";"D3";4;"DIODE";;;
10;"C1,C4,C2,C3";"C2";4;"10nF";;;
11;"C10,C7,C9,C8";"C1.5V8V";4;"100uF";;;
12;"C6,C5";"C1.5V8V";2;"10uF";;;
13;"JACK1";"3.5MMJACK";1;"INPUT1";;;
14;"JACK2";"3.5MMJACK";1;"INPUT2";;;
15;"JACK3";"3.5MMJACK";1;"INPUT3";;;
16;"JACK4";"3.5MMJACK";1;"INPUT4";;;
17;"JACKOUT1";"3.5MMJACK";1;"OUTPUT1";;;
18;"P2";"PIN_ARRAY_2X1";1;"TESTPWR";;;
19;"P1";"JACK_ALIM";1;"POWER";;;
